Name, Topic Label, Score
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuroplasticity, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Creativity, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Cognition, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Psychological resilience, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Psychology, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Perception, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuron, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Attention, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Memory, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Electroencephalography, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Traumatic brain injury, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Artificial intelligence, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Mindfulness, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Mind, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Stimulus (physiology), 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Cognitive science, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Psychological concepts, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Nervous system, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Mind-wandering, 0.9822
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Health, 0.9796
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Social media, 0.9576
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Science, 0.9297
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Concept, 0.9186
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Prosocial behavior, 0.9129
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Folklore, 0.9106
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Video game, 0.9067
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuropsychology, 0.9021
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Computational neuroscience, 0.8892
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Pain, 0.8882
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Synapse, 0.8841
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Positron emission tomography, 0.877
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Meditation, 0.8737
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Cerebral cortex, 0.8612
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Simulation, 0.8582
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Emotion, 0.851
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Intelligence, 0.8504
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuropsychological assessment, 0.8396
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuromodulation (medicine), 0.8308
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Electricity, 0.8197
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Biology, 0.811
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Bit, 0.811
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Physical exercise, 0.7936
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Race (human classification), 0.7878
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Emergence, 0.7737
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Consciousness, 0.7727
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Watson (computer), 0.7547
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Amygdala, 0.7519
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Transcranial direct-current stimulation, 0.7501
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Dementia, 0.7478
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Nootropic, 0.7477
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Behavior, 0.7422
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Literature, 0.7358
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Stimulation, 0.735
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Behavioural sciences, 0.7289
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Learning, 0.7261
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Behavioral neuroscience, 0.7233
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Paradigm, 0.7215
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Epilepsy, 0.7187
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Cognitive neuroscience, 0.7184
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Cortical implant, 0.7156
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Information, 0.7049
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Limbic system, 0.6951
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Natural environment, 0.6898
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Online community, 0.6892
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Pharmaceutical drug, 0.6865
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Experience point, 0.6786
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Reason, 0.6784
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Action potential, 0.6777
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Medical imaging, 0.6768
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Amazon.com, 0.6766
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Autonomy, 0.6758
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Optogenetics, 0.6711
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Dream, 0.6647
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Hippocampus, 0.6556
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Epistemology, 0.6509
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Functional magnetic resonance imaging, 0.6506
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Positive psychology, 0.6501
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Sleep, 0.6501
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Grit (personality trait), 0.645
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Gamification, 0.6421
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Distraction, 0.6389
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuroanatomy, 0.635
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Value (ethics), 0.6282
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Experiment, 0.6253
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Cognitive therapy, 0.6194
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Physiology, 0.615
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Perspective (graphical), 0.6123
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Good and evil, 0.6107
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Adult neurogenesis, 0.6095
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Synaptic plasticity, 0.6076
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Computer, 0.603
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Phenomenology, 0.601
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Magnetic resonance imaging, 0.6006
Deep_Future_OE_2.txt, Technology, 1
Deep_Future_OE_2.txt, Artificial objects, 1
Deep_Future_OE_2.txt, United States, 0.9724
Deep_Future_OE_2.txt, Transport, 0.8992
Deep_Future_OE_2.txt, Russia, 0.8555
Deep_Future_OE_2.txt, Science and technology, 0.8518
Deep_Future_OE_2.txt, BRIC, 0.8017
Deep_Future_OE_2.txt, Internet, 0.7984
Deep_Future_OE_2.txt, Internet of things, 0.7753
Deep_Future_OE_2.txt, Nanotechnology, 0.7745
Deep_Future_OE_2.txt, Rail transport, 0.7339
Deep_Future_OE_2.txt, Simulation, 0.7239
Deep_Future_OE_2.txt, Unmanned ground vehicle, 0.6978
Deep_Future_OE_2.txt, China, 0.6756
Deep_Future_OE_2.txt, Wireless, 0.6674
Deep_Future_OE_2.txt, High-speed rail, 0.6615
Deep_Future_OE_2.txt, Tank, 0.6491
Deep_Future_OE_2.txt, Industries, 0.6458
Deep_Future_OE_2.txt, Disease, 0.6247
Deep_Future_OE_2.txt, Infrastructure, 0.6162
Deep_Future_OE_2.txt, NATO, 0.6106
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Groupthink, 1
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, I Was Here (song), 0.9093
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Leadership, 0.9024
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Reputation, 0.8131
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, The Onion, 0.801
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Film, 0.73
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Military uniform, 0.6701
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Understanding, 0.6458
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Hair, 0.6401
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Hairstyle, 0.6156
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Camouflage, 0.6101
2016 CSS-TRADOC Mad Scientist Conference Day 2 Closing.txt, Barack Obama presidential campaign, 2008, 0.6029
LittleDavid.txt, Tank, 1
LittleDavid.txt, Military technology, 1
LittleDavid.txt, Artificial objects, 1
LittleDavid.txt, Military equipment, 1
LittleDavid.txt, Vehicles, 1
LittleDavid.txt, Military science, 1
LittleDavid.txt, Warfare, 0.9804
LittleDavid.txt, Manufactured goods, 0.9201
LittleDavid.txt, Technology, 0.9163
LittleDavid.txt, Vehicle, 0.9161
LittleDavid.txt, Radio control, 0.8513
LittleDavid.txt, Unmanned aerial vehicle, 0.8435
LittleDavid.txt, General Atomics MQ-1 Predator, 0.8254
LittleDavid.txt, National security, 0.7972
LittleDavid.txt, Military, 0.797
LittleDavid.txt, Surveillance, 0.7941
LittleDavid.txt, Smoke screen, 0.7646
LittleDavid.txt, Flamethrower, 0.7368
LittleDavid.txt, Hazards, 0.7195
LittleDavid.txt, Grenade, 0.6719
LittleDavid.txt, Weapons, 0.6635
LittleDavid.txt, Grenade launcher, 0.6541
LittleDavid.txt, Equipment, 0.6442
LittleDavid.txt, Reconnaissance, 0.6427
LittleDavid.txt, Remote control, 0.6287
LittleDavid.txt, Military forces, 0.6194
LittleDavid.txt, Aviation, 0.6104
LittleDavid.txt, Industries, 0.6051
robotfloorDEMO.txt, Biology, 1
robotfloorDEMO.txt, Insects, 1
robotfloorDEMO.txt, Animals, 1
robotfloorDEMO.txt, Zoology, 1
robotfloorDEMO.txt, Organisms, 1
robotfloorDEMO.txt, Hexapoda, 0.9663
robotfloorDEMO.txt, Insects and humans, 0.8004
robotfloorDEMO.txt, Beetles, 0.7515
robotfloorDEMO.txt, Arthropods, 0.6859
robotfloorDEMO.txt, Hobbies, 0.6284
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Strategic management, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Leadership, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Problem solving, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Understanding, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Technology, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Innovation, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Cognition, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Culture, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Cognitive science, 1
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Computer, 0.9984
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Cyberspace, 0.9641
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, United States, 0.9626
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Health, 0.8776
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Knowledge, 0.8457
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Learning, 0.8354
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Natural environment, 0.833
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, China, 0.8328
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Red team, 0.8321
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Biometrics, 0.8315
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Evolution, 0.8158
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Education, 0.8127
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, War, 0.8051
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Military, 0.8036
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Robotics, 0.7867
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Epistemology, 0.7784
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Science, 0.7725
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Psychological concepts, 0.7689
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Analytics, 0.7555
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Deterrence theory, 0.7487
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Operationalization, 0.7473
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Business, 0.7415
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Folk music, 0.7389
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Risk, 0.7359
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Censorship, 0.7087
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Prosocial behavior, 0.7042
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Emergence, 0.702
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, United States Army, 0.7015
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Adaptation, 0.7001
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Earth, 0.6948
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Metaphor, 0.6681
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Sunk cost, 0.6643
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Swarm behaviour, 0.6623
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Strategy, 0.6546
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Pope, 0.6543
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Catholic Church, 0.6498
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, United States Army Training and Doctrine Command, 0.6485
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, People's Liberation Army, 0.6428
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Groupthink, 0.6359
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Stress (biology), 0.6313
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Bit, 0.6267
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Psychology, 0.624
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Neuroplasticity, 0.6205
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Neuroscience, 0.6173
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Tank, 0.6168
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Anatomically modern human, 0.6153
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Spacetime, 0.6134
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, Species, 0.6067
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Brain, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Neuroscience, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Neuroplasticity, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Creativity, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Cognition, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Psychological resilience, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Psychology, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Perception, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Neuron, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Attention, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Mind, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Traumatic brain injury, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Electroencephalography, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Prosocial behavior, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Artificial intelligence, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Memory, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Stimulus (physiology), 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Nervous system, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Cognitive science, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Psychological concepts, 1
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Health, 0.9882
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Mind-wandering, 0.9869
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Video game, 0.9824
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Mindfulness, 0.9457
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Social media, 0.9442
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Folklore, 0.9415
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Emotion, 0.9334
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Science, 0.931
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Concept, 0.9268
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Neuropsychology, 0.9178
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Synapse, 0.9093
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Positron emission tomography, 0.8902
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Computational neuroscience, 0.8817
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Pain, 0.871
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Meditation, 0.8703
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Neuropsychological assessment, 0.8671
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Physical exercise, 0.8584
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Amygdala, 0.8551
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Cerebral cortex, 0.8504
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Intelligence, 0.8478
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Neuromodulation (medicine), 0.8458
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, Learning, 0.8292
